"Dataset","Model","Metric","Value"
"boston","RaFFLE","MSE",10.7555969977531
"boston","RaFFLE","MSE",9.37275995823251
"boston","RaFFLE","MSE",7.99109948553255
"boston","RaFFLE","MSE",13.9107687410118
"boston","RaFFLE","MSE",11.4433281779937
"boston","RaFFLE","MSE",16.9934667399451
"boston","RaFFLE","MSE",9.15610582136711
"boston","RaFFLE","MSE",13.2500094092912
"boston","RaFFLE","MSE",8.03346492328455
"boston","RaFFLE","MSE",10.8096005426462
"boston","RaFFLE","MAE",2.09007062764028
"boston","RaFFLE","MAE",2.24918925573004
"boston","RaFFLE","MAE",1.94471605276876
"boston","RaFFLE","MAE",2.3346355774637
"boston","RaFFLE","MAE",2.4204413808721
"boston","RaFFLE","MAE",2.49345583005216
"boston","RaFFLE","MAE",2.32356399031649
"boston","RaFFLE","MAE",2.65226800880945
"boston","RaFFLE","MAE",2.08958702696507
"boston","RaFFLE","MAE",2.03533699432938
"boston","RaFFLE","RMSE",3.27957268523708
"boston","RaFFLE","RMSE",3.06149635933681
"boston","RaFFLE","RMSE",2.82685328334043
"boston","RaFFLE","RMSE",3.72971429750481
"boston","RaFFLE","RMSE",3.38279886750508
"boston","RaFFLE","RMSE",4.12231327532795
"boston","RaFFLE","RMSE",3.02590578527606
"boston","RaFFLE","RMSE",3.64005623710558
"boston","RaFFLE","RMSE",2.83433676956084
"boston","RaFFLE","RMSE",3.28779569660984
"boston","RaFFLE","R2",0.877381612723801
"boston","RaFFLE","R2",0.892985000101928
"boston","RaFFLE","R2",0.895215586748157
"boston","RaFFLE","R2",0.774081754515555
"boston","RaFFLE","R2",0.886455049212972
"boston","RaFFLE","R2",0.80294139844861
"boston","RaFFLE","R2",0.861517167188794
"boston","RaFFLE","R2",0.846701747516028
"boston","RaFFLE","R2",0.911660132525693
"boston","RaFFLE","R2",0.880278324880064
"boston","PRForest","MSE",25.162827453153
"boston","PRForest","MSE",39.0543604277528
"boston","PRForest","MSE",44.2263385589229
"boston","PRForest","MSE",34.1994175282658
"boston","PRForest","MSE",37.8401835578213
"boston","PRForest","MSE",33.2384333894766
"boston","PRForest","MSE",19.7194592797348
"boston","PRForest","MSE",30.2722711280728
"boston","PRForest","MSE",30.8386341409855
"boston","PRForest","MSE",40.6623787212915
"boston","PRForest","MAE",3.68753627500609
"boston","PRForest","MAE",4.41992510497007
"boston","PRForest","MAE",4.18627371140121
"boston","PRForest","MAE",3.64862429915602
"boston","PRForest","MAE",4.10660360183607
"boston","PRForest","MAE",4.37155175428792
"boston","PRForest","MAE",3.14512867110912
"boston","PRForest","MAE",3.80443523737941
"boston","PRForest","MAE",4.22933424893588
"boston","PRForest","MAE",4.26324596620785
