"Model","Metric","Mean","SD"
"LightGBM","mae",0.895269265502332,NA
"LightGBM","mse",2.4890388734131,NA
"LightGBM","r2",0.969314686761676,NA
"LightGBM","rmse",1.57766880979916,NA
"PRForest","mae",0,NA
"PRForest","mse",0,NA
"PRForest","r2",0,NA
"PRForest","rmse",0,NA
"RaFFLE","mae",1.20540654953303,NA
"RaFFLE","mse",3.28500858376078,NA
"RaFFLE","r2",0.959501830823133,NA
"RaFFLE","rmse",1.81245926402796,NA
"RandomForest","mae",1.00957633438674,NA
"RandomForest","mse",2.5374237087406,NA
"RandomForest","r2",0.968718189919514,NA
"RandomForest","rmse",1.59292928554302,NA
"XGBoost","mae",0.645833856871958,NA
"XGBoost","mse",0.6814189565531,NA
"XGBoost","r2",0.991599346096314,NA
"XGBoost","rmse",0.825481045544415,NA
