"Model","Metric","Mean","SD"
"LightGBM","mae",7.36332179930796,0
"LightGBM","mse",95.9377162629758,0
"LightGBM","r2",0,0
"LightGBM","rmse",9.79478005179166,0
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",1.87964875679979,0.188005272313408
"RaFFLE","mse",6.92550246078399,1.23925733742099
"RaFFLE","r2",0.927812514925825,0.0129173112066171
"RaFFLE","rmse",2.62270788881385,0.228292674573646
"RandomForest","mae",2.19819117647059,0
"RandomForest","mse",7.97717952425137,0
"RandomForest","r2",0.916850433437617,0
"RandomForest","rmse",2.82439011544995,0
"XGBoost","mae",0.0607863594503964,0
"XGBoost","mse",0.0294199990886388,0
"XGBoost","r2",0.999693342720313,0
"XGBoost","rmse",0.171522590607298,0
