"Model","Metric","Mean","SD"
"LightGBM","mae",13.9950850863538,0
"LightGBM","mse",294.716030245747,0
"LightGBM","r2",-2.22044604925031e-16,0
"LightGBM","rmse",17.1672953678134,0
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",2.29838942874666,0.085266110756289
"RaFFLE","mse",9.43582928832832,0.78004059732535
"RaFFLE","r2",0.967983318449084,0.00264675320400765
"RaFFLE","rmse",3.069505696978,0.124561740817424
"RandomForest","mae",2.56434968944099,0
"RandomForest","mse",16.7240732397047,0
"RandomForest","r2",0.943253601693266,0
"RandomForest","rmse",4.08950770138714,0
"XGBoost","mae",0.149550885739534,0
"XGBoost","mse",0.0404537652400381,0
"XGBoost","r2",0.999862736461243,0
"XGBoost","rmse",0.201131213987382,0
