"Model","Metric","Mean","SD"
"LightGBM","mae",0.842222227520413,NA
"LightGBM","mse",1.26672222222222,NA
"LightGBM","r2",-2.22044604925031e-16,NA
"LightGBM","rmse",1.12548754867489,NA
"PRForest","mae",0,NA
"PRForest","mse",0,NA
"PRForest","r2",0,NA
"PRForest","rmse",0,NA
"RaFFLE","mae",0.072907119617282,NA
"RaFFLE","mse",0.0106442499877773,NA
"RaFFLE","r2",0.99159701329854,NA
"RaFFLE","rmse",0.103170974541182,NA
"RandomForest","mae",0.0876766666666667,NA
"RandomForest","mse",0.0166698506296296,NA
"RandomForest","r2",0.986840168793766,NA
"RandomForest","rmse",0.129111775720225,NA
"XGBoost","mae",0.000507214864095188,NA
"XGBoost","mse",5.09226179322887e-07,NA
"XGBoost","r2",0.999999597996964,NA
"XGBoost","rmse",0.000713600854345682,NA
