"Model","Metric","Mean","SD"
"LightGBM","mae",11.3333333333333,NA
"LightGBM","mse",176.166666666667,NA
"LightGBM","r2",0,NA
"LightGBM","rmse",13.2727791613764,NA
"PRForest","mae",0,NA
"PRForest","mse",0,NA
"PRForest","r2",0,NA
"PRForest","rmse",0,NA
"RaFFLE","mae",0,NA
"RaFFLE","mse",0,NA
"RaFFLE","r2",0,NA
"RaFFLE","rmse",0,NA
"RandomForest","mae",0,NA
"RandomForest","mse",0,NA
"RandomForest","r2",0,NA
"RandomForest","rmse",0,NA
"XGBoost","mae",0,NA
"XGBoost","mse",0,NA
"XGBoost","r2",0,NA
"XGBoost","rmse",0,NA
