"Model","Metric","Mean","SD"
"LightGBM","mae",0.895269265502332,0
"LightGBM","mse",2.4890388734131,0
"LightGBM","r2",0.969314686761676,0
"LightGBM","rmse",1.57766880979916,0
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",1.23216382897207,0.0220328126676709
"RaFFLE","mse",3.52736373052817,0.15750611322006
"RaFFLE","r2",0.95651403353603,0.00194176333392535
"RaFFLE","rmse",1.87770416149473,0.0420424710336287
"RandomForest","mae",1.00957633438674,0
"RandomForest","mse",2.5374237087406,0
"RandomForest","r2",0.968718189919514,0
"RandomForest","rmse",1.59292928554302,0
"XGBoost","mae",0.645833856871958,0
"XGBoost","mse",0.6814189565531,0
"XGBoost","r2",0.991599346096314,0
"XGBoost","rmse",0.825481045544415,0
