"Model","Metric","Mean","SD"
"LightGBM","mae",2.82241666666667,NA
"LightGBM","mse",10.6017019097225,NA
"LightGBM","r2",-2.77555756156289e-14,NA
"LightGBM","rmse",3.25602547743756,NA
"PRForest","mae",0,NA
"PRForest","mse",0,NA
"PRForest","r2",0,NA
"PRForest","rmse",0,NA
"RaFFLE","mae",2.82241666666667,NA
"RaFFLE","mse",10.6093820950667,NA
"RaFFLE","r2",-0.000724429474611377,NA
"RaFFLE","rmse",3.25720464433334,NA
"RandomForest","mae",0.62875972222222,NA
"RandomForest","mse",0.570425297966645,NA
"RandomForest","r2",0.946194931453077,NA
"RandomForest","rmse",0.755265051466467,NA
"XGBoost","mae",0.0255517679850262,NA
"XGBoost","mse",0.00206403619481409,NA
"XGBoost","r2",0.999805310863068,NA
"XGBoost","rmse",0.0454316651116167,NA
