"Model","Metric","Mean","SD"
"LightGBM","mae",123.825877292965,0
"LightGBM","mse",26327.6192866389,0
"LightGBM","r2",-2.22044604925031e-16,0
"LightGBM","rmse",162.257878966289,0
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0,0
"RaFFLE","mse",0,0
"RaFFLE","r2",0,0
"RaFFLE","rmse",0,0
"RandomForest","mae",0,0
"RandomForest","mse",0,0
"RandomForest","r2",0,0
"RandomForest","rmse",0,0
"XGBoost","mae",0,0
"XGBoost","mse",0,0
"XGBoost","r2",0,0
"XGBoost","rmse",0,0
