"Model","Metric","Mean","SD"
"LightGBM","mae",7.36332179930796,NA
"LightGBM","mse",95.9377162629758,NA
"LightGBM","r2",0,NA
"LightGBM","rmse",9.79478005179166,NA
"PRForest","mae",0,NA
"PRForest","mse",0,NA
"PRForest","r2",0,NA
"PRForest","rmse",0,NA
"RaFFLE","mae",1.8445128208987,NA
"RaFFLE","mse",6.47359349704758,NA
"RaFFLE","r2",0.932522956046788,NA
"RaFFLE","rmse",2.54432574507424,NA
"RandomForest","mae",2.19819117647059,NA
"RandomForest","mse",7.97717952425137,NA
"RandomForest","r2",0.916850433437617,NA
"RandomForest","rmse",2.82439011544995,NA
"XGBoost","mae",0.0607863594503964,NA
"XGBoost","mse",0.0294199990886388,NA
"XGBoost","r2",0.999693342720313,NA
"XGBoost","rmse",0.171522590607298,NA
