"Model","Metric","Mean","SD"
"LightGBM","mae",2.05257142670301,NA
"LightGBM","mse",8.06125714285715,NA
"LightGBM","r2",-4.44089209850063e-16,NA
"LightGBM","rmse",2.83923530952564,NA
"PRForest","mae",0,NA
"PRForest","mse",0,NA
"PRForest","r2",0,NA
"PRForest","rmse",0,NA
"RaFFLE","mae",1.13071226840305,NA
"RaFFLE","mse",2.4597904823787,NA
"RaFFLE","r2",0.694862669830815,NA
"RaFFLE","rmse",1.56837192093543,NA
"RandomForest","mae",1.00122680272109,NA
"RandomForest","mse",1.93327838838646,NA
"RandomForest","r2",0.760176563763447,NA
"RandomForest","rmse",1.39042381610301,NA
"XGBoost","mae",0.019878283909389,NA
"XGBoost","mse",0.00126243244689562,NA
"XGBoost","r2",0.999843395090304,NA
"XGBoost","rmse",0.0355307253921957,NA
