"Model","Metric","Mean","SD"
"LightGBM","mae",0.842222227520413,0
"LightGBM","mse",1.26672222222222,0
"LightGBM","r2",-2.22044604925031e-16,0
"LightGBM","rmse",1.12548754867489,0
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0.0738827469979371,0.00344333584517142
"RaFFLE","mse",0.0105959593922878,0.000976067861514332
"RaFFLE","r2",0.991635135780835,0.000770546094787864
"RaFFLE","rmse",0.10283601967379,0.00479727352423091
"RandomForest","mae",0.0876766666666667,0
"RandomForest","mse",0.0166698506296296,0
"RandomForest","r2",0.986840168793766,0
"RandomForest","rmse",0.129111775720225,0
"XGBoost","mae",0.000507214864095188,0
"XGBoost","mse",5.09226179322887e-07,0
"XGBoost","r2",0.999999597996964,0
"XGBoost","rmse",0.000713600854345682,0
