"Model","Metric","Mean","SD"
"LightGBM","mae",0.201311309156085,0.0133443166522882
"LightGBM","mse",0.0641214200989519,0.010098699085046
"LightGBM","r2",0.745445286082643,0.0614551650883932
"LightGBM","rmse",0.252534248096359,0.0196602712018894
"PRForest","mae",0.296903217410524,0.0318853350094427
"PRForest","mse",0.137938519067068,0.0248815662528404
"PRForest","r2",0.457850782034079,0.10620344555225
"PRForest","rmse",0.369887842530862,0.0353003464719069
"RaFFLE","mae",0.307467847859269,0.0287010115106791
"RaFFLE","mse",0.152651012268352,0.0273332403135165
"RaFFLE","r2",0.397905804448993,0.126642849156013
"RaFFLE","rmse",0.389344307194315,0.0343514955801067
"RandomForest","mae",0.305542834036987,0.0278768817051819
"RandomForest","mse",0.148789469623377,0.0193446904465313
"RandomForest","r2",0.418458804368445,0.0493966986809138
"RandomForest","rmse",0.385041244961439,0.0243289791063714
"XGBoost","mae",0.185842400443511,0.0221035843091563
"XGBoost","mse",0.0596566200142674,0.0161543793520397
"XGBoost","r2",0.764732597193837,0.0667807447780468
"XGBoost","rmse",0.242265087017776,0.0327320370845954
