"Model","Metric","Mean","SD"
"LightGBM","mae",0.201311309156085,0.0133443166522882
"LightGBM","mse",0.0641214200989519,0.010098699085046
"LightGBM","r2",0.745445286082643,0.0614551650883932
"LightGBM","rmse",0.252534248096359,0.0196602712018894
"PRForest","mae",0.416936304776888,0.0350064766464607
"PRForest","mse",0.264100406603806,0.0367951410481027
"PRForest","r2",-0.0269269669822063,0.0312607588696011
"PRForest","rmse",0.512735255263696,0.0365599145008615
"RaFFLE","mae",0.307467847859269,0.0287010115106791
"RaFFLE","mse",0.152651012268352,0.0273332403135165
"RaFFLE","r2",0.397905804448993,0.126642849156013
"RaFFLE","rmse",0.389344307194315,0.0343514955801067
"RandomForest","mae",0.307006604445641,0.0272911023596823
"RandomForest","mse",0.150782048803942,0.0198026195701604
"RandomForest","r2",0.41034100265483,0.0593881551608305
"RandomForest","rmse",0.387560899412767,0.0253552109548555
"XGBoost","mae",0.190932877339452,0.0300104245477742
"XGBoost","mse",0.0648254015424789,0.0217033308061963
"XGBoost","r2",0.744653391916314,0.0892821928806929
"XGBoost","rmse",0.251387051235813,0.042556524678511
