"Model","Metric","Mean","SD"
"CART","mae",0.339805667705342,0.100739939444559
"CART","mse",0.197056931132318,0.0992023251441005
"CART","r2",0.175154629569402,0.461963590412578
"CART","rmse",0.432778552785349,0.120993731540131
"Lasso","mae",0.412199764087011,0.019891594297793
"Lasso","mse",0.251805454393778,0.0107513107939723
"Lasso","r2",-0.0282574572795756,0.0399098069489501
"Lasso","rmse",0.501726154280607,0.0106995680686856
"LightGBM","mae",0.196493458986781,0.0101067762221342
"LightGBM","mse",0.0576949954818251,0.00363787906015695
"LightGBM","r2",0.764111324533621,0.0201516415454404
"LightGBM","rmse",0.240118241036653,0.00757223249335075
"PILOT","mae",0.412199764087011,0.019891594297793
"PILOT","mse",0.251805454393778,0.0107513107939723
"PILOT","r2",-0.0282574572795756,0.0399098069489501
"PILOT","rmse",0.501726154280607,0.0106995680686856
"PRForest","mae",0.411289719697794,0.0218134337705831
"PRForest","mse",0.251716570757268,0.0124095266742873
"PRForest","r2",-0.0275451826369342,0.0338555068508127
"PRForest","rmse",0.501612173254424,0.0123570870500667
"RaFFLE","mae",0.276246182810628,0.0172209849779873
"RaFFLE","mse",0.119991882175206,0.019119552158764
"RaFFLE","r2",0.505886050966312,0.1093116572418
"RaFFLE","rmse",0.345628019413322,0.028279525410531
"RandomForest","mae",0.305654147671504,0.00697449006352414
"RandomForest","mse",0.144034464282418,0.00142424840780752
"RandomForest","r2",0.410776628913836,0.0424524863553831
"RandomForest","rmse",0.379515641438221,0.00187437435720382
"Ridge","mae",0.414948185685956,0.0230827960683926
"Ridge","mse",0.254687156434453,0.0143077580160599
"Ridge","r2",-0.0400587636824704,0.055520365475038
"Ridge","rmse",0.504534690208441,0.0140660661198294
"XGBoost","mae",0.2185538721169,0.0718817448203464
"XGBoost","mse",0.0791374263142937,0.0495246290987105
"XGBoost","r2",0.666107659052953,0.235640285711214
"XGBoost","rmse",0.272951675760344,0.0833799347617293
