"Model","Metric","Mean","SD"
"CART","mae",0.495468207470702,0.0517589773698077
"CART","mse",0.37362190992596,0.0701022333729392
"CART","r2",0.733715033123791,0.0480627986322966
"CART","rmse",0.608911752509006,0.0562572225720671
"Lasso","mae",0.242719503492072,0.01639164179596
"Lasso","mse",0.0944242897563427,0.0112004787734968
"Lasso","r2",0.93234002872674,0.0101783380775548
"Lasso","rmse",0.30679109430503,0.0183640412964709
"LightGBM","mae",0.301977680097412,0.0244634319589474
"LightGBM","mse",0.139715954358029,0.0211839479575651
"LightGBM","r2",0.900253025908977,0.0155060442974281
"LightGBM","rmse",0.372821795852455,0.0282815781301574
"PILOT","mae",0.246334261744658,0.0171339306429194
"PILOT","mse",0.0968479429910505,0.0123496151462386
"PILOT","r2",0.930606894679326,0.0109069536155579
"PILOT","rmse",0.310622231870089,0.0200491634376707
"PRForest","mae",0.670079337317874,0.03826008725628
"PRForest","mse",0.68488774524,0.0650003365107588
"PRForest","r2",0.511904810041669,0.0400545308298248
"PRForest","rmse",0.826717810230319,0.0397968101455596
"RaFFLE","mae",0.248041456110681,0.0145040092512997
"RaFFLE","mse",0.0974821011078392,0.00975343858779088
"RaFFLE","r2",0.930108527038127,0.00993705011188897
"RaFFLE","rmse",0.311872725600571,0.0155457795026415
"RandomForest","mae",0.336613578025602,0.0325704400222645
"RandomForest","mse",0.180950139752193,0.0330129575850708
"RandomForest","r2",0.871274425437267,0.0210179850284885
"RandomForest","rmse",0.42389041087582,0.0375212431641058
"Ridge","mae",0.242570536558987,0.016839491829664
"Ridge","mse",0.0943472492974389,0.0113597445759479
"Ridge","r2",0.932377441141714,0.0104202922612766
"Ridge","rmse",0.306650743556134,0.0186360097633355
"XGBoost","mae",0.327814886839464,0.0385911832931568
"XGBoost","mse",0.166693324163525,0.0376168113062169
"XGBoost","r2",0.881320983285772,0.0252407821782991
"XGBoost","rmse",0.406179991263248,0.0436035021645619
