"Model","Metric","Mean","SD"
"CART","mae",0.35283725155048,0.0242928996612503
"CART","mse",0.222681792058181,0.0300239399236612
"CART","r2",0.310137786412706,0.105400645129056
"CART","rmse",0.470840187589145,0.0331881807810467
"Lasso","mae",0.289372313053429,0.0159535778432854
"Lasso","mse",0.158363671555581,0.0263591718659971
"Lasso","r2",0.511238621391843,0.0716281778278556
"Lasso","rmse",0.396767335277252,0.0323067452979075
"LightGBM","mae",0.30843889341694,0.0154393854989083
"LightGBM","mse",0.176807459180241,0.01946179903897
"LightGBM","r2",0.453155178267525,0.0620570257167632
"LightGBM","rmse",0.419916179899005,0.0230424979179199
"PILOT","mae",0.289778187839332,0.0164801578896114
"PILOT","mse",0.15868092578323,0.0274727123300989
"PILOT","r2",0.510105548508683,0.0762239024936948
"PILOT","rmse",0.397071477504349,0.033585174238102
"PRForest","mae",0.373346102015688,0.0246232211145398
"PRForest","mse",0.231894467024825,0.0317582844825313
"PRForest","r2",0.287975726496182,0.0407660800762589
"PRForest","rmse",0.480555014767646,0.0326827308544245
"RaFFLE","mae",0.289630855681588,0.0151068255592312
"RaFFLE","mse",0.156160681570536,0.0278585245050889
"RaFFLE","r2",0.51769226816843,0.0787479941239531
"RaFFLE","rmse",0.393817348518193,0.0344573420113152
"RandomForest","mae",0.308508091002995,0.0189419009118418
"RandomForest","mse",0.174283137429181,0.0233027335590186
"RandomForest","r2",0.462383264400856,0.0594032231960707
"RandomForest","rmse",0.416639618110076,0.0277802097878502
"Ridge","mae",0.291667401253602,0.0165887081573463
"Ridge","mse",0.15889395739781,0.0253890771181823
"Ridge","r2",0.50960619308218,0.0681714909963484
"Ridge","rmse",0.39752370102088,0.0310709675934098
"XGBoost","mae",0.32767117082449,0.0264244851749231
"XGBoost","mse",0.200385926432323,0.0363968484325224
"XGBoost","r2",0.38434865447283,0.0850150426964099
"XGBoost","rmse",0.446043624831571,0.039874959831904
