"Model","Metric","Mean","SD"
"CART","mae",1.12870577000587,0.0772893072999507
"CART","mse",2.01802111609452,0.253349385347809
"CART","r2",0.761628877638331,0.0171815935655777
"CART","rmse",1.41807648781086,0.0886954264920687
"Lasso","mae",2.44706914076662,0.116363879435338
"Lasso","mse",8.64807019289824,1.02756589047674
"Lasso","r2",-0.0206820232665493,0.0431281812097152
"Lasso","rmse",2.93613678406202,0.173752628041519
"LightGBM","mae",0.981936387612377,0.0748694697157817
"LightGBM","mse",1.54130317836026,0.26163980543226
"LightGBM","r2",0.817925664381518,0.0239376034291098
"LightGBM","rmse",1.23759707756162,0.103583846720135
"PILOT","mae",0,0
"PILOT","mse",0,0
"PILOT","r2",0,0
"PILOT","rmse",0,0
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0.918115233314166,0.0491073306628158
"RaFFLE","mse",1.30712740130242,0.129229970852092
"RaFFLE","r2",0.84410604850092,0.0222168940985437
"RaFFLE","rmse",1.14199494903695,0.0574933588097677
"RandomForest","mae",1.17776566975493,0.083257188592441
"RandomForest","mse",2.2169317148284,0.363242901373596
"RandomForest","r2",0.737257462276602,0.0397472699518568
"RandomForest","rmse",1.48466026370268,0.118863209010658
"Ridge","mae",2.43972707792786,0.116774974747941
"Ridge","mse",8.60115978812036,1.02194893497472
"Ridge","r2",-0.0154856735919485,0.0470238802711249
"Ridge","rmse",2.92826754782838,0.171298817715109
"XGBoost","mae",0.938385640301448,0.073196143408214
"XGBoost","mse",1.4136958884944,0.216675014513004
"XGBoost","r2",0.832301979016475,0.0258071653070007
"XGBoost","rmse",1.18592617499734,0.0899073347063005
