"Model","Metric","Mean","SD"
"CART","mae",0.27023251295639,0.0135426073272713
"CART","mse",0.111799720027203,0.0113282979733426
"CART","r2",0.731801075026532,0.0467432599232635
"CART","rmse",0.333965542222748,0.0172155173888184
"Lasso","mae",0,0
"Lasso","mse",0,0
"Lasso","r2",0,0
"Lasso","rmse",0,0
"LightGBM","mae",0.260352492127228,0.00969563445169395
"LightGBM","mse",0.105007149699124,0.00875137628205087
"LightGBM","r2",0.749098484177789,0.0321501689626636
"LightGBM","rmse",0.323800808334888,0.0133410902768286
"PILOT","mae",0.251851920734429,0.0146806816563777
"PILOT","mse",0.0998225128105733,0.011036243245468
"PILOT","r2",0.762130911499191,0.0302995387929929
"PILOT","rmse",0.315504676987589,0.0176166464689467
"PRForest","mae",0.25271180178849,0.0141880209506494
"PRForest","mse",0.100520963838615,0.0108699948132104
"PRForest","r2",0.760405073561063,0.030529924280564
"PRForest","rmse",0.316624384512784,0.0173193203136961
"RaFFLE","mae",0.251741171738928,0.0142097693648129
"RaFFLE","mse",0.0997846998575821,0.0106641196375554
"RaFFLE","r2",0.762158835902384,0.0300920691865556
"RaFFLE","rmse",0.315475159572614,0.0170007695974835
"RandomForest","mae",0.286188056889722,0.0173560973559169
"RandomForest","mse",0.12599944807149,0.0165868440890468
"RandomForest","r2",0.698569274137488,0.0504482925190473
"RandomForest","rmse",0.354297634255062,0.0229161377576873
"Ridge","mae",0,0
"Ridge","mse",0,0
"Ridge","r2",0,0
"Ridge","rmse",0,0
"XGBoost","mae",0.280306468777358,0.0247909009835149
"XGBoost","mse",0.12201939101378,0.0229886395590831
"XGBoost","r2",0.710006350352146,0.0500941862824643
"XGBoost","rmse",0.348068158015454,0.0310545825838071
