"Model","Metric","Mean","SD"
"CART","mae",0.436603763556522,0.0250065100939544
"CART","mse",0.421132817963038,0.269743286609288
"CART","r2",0.901213508310079,0.0685074024709016
"CART","rmse",0.628603438471152,0.197448227791299
"Lasso","mae",1.33995175628517,0.105289708789682
"Lasso","mse",2.56771939913309,0.213067026869959
"Lasso","r2",0.409478385298304,0.0561606962288174
"Lasso","rmse",1.60146739306725,0.0673229686900242
"LightGBM","mae",0.471790544611664,0.0632850258530439
"LightGBM","mse",0.477574285283574,0.331427338030974
"LightGBM","r2",0.887532612303063,0.0838544657265606
"LightGBM","rmse",0.665826773346681,0.226657207623059
"PILOT","mae",0.454938073185937,0.0469438079676936
"PILOT","mse",0.563886871250614,0.271659381090497
"PILOT","r2",0.865769821838231,0.0721119874495251
"PILOT","rmse",0.732808265605551,0.200794361639457
"PRForest","mae",1.32148223849715,0.0545361036812147
"PRForest","mse",2.60290705930102,0.160305433886993
"PRForest","r2",0.401101449252997,0.0501555960886058
"PRForest","rmse",1.612833353956,0.0501342946703066
"RaFFLE","mae",0.474670048936868,0.0540635214114381
"RaFFLE","mse",0.474686213586396,0.202219525103507
"RaFFLE","r2",0.887789673380921,0.0546470812020153
"RaFFLE","rmse",0.677652860721576,0.152345728241359
"RandomForest","mae",0.481273170877983,0.0143733264067842
"RandomForest","mse",0.407331300336302,0.114190043123912
"RandomForest","r2",0.904938251489669,0.0329274088984236
"RandomForest","rmse",0.634235937121917,0.0872588940972655
"Ridge","mae",1.34407328327696,0.10861884871757
"Ridge","mse",2.59297618267327,0.214098225448011
"Ridge","r2",0.403308968809105,0.0621631733822018
"Ridge","rmse",1.60933364065201,0.0673210487776327
"XGBoost","mae",0.50874773982012,0.0163074039504932
"XGBoost","mse",0.490646869692892,0.213733024072626
"XGBoost","r2",0.885308855989428,0.0564082219146103
"XGBoost","rmse",0.69025498130416,0.145919141021758
