"Model","Metric","Mean","SD"
"LightGBM","mae",0.168869615079792,0.0175975530039792
"LightGBM","mse",0.0468134422342329,0.00971854575156497
"LightGBM","r2",0.844826022364327,0.0444404671719071
"LightGBM","rmse",0.215362830268158,0.0219163453239186
"PRForest","mae",0.248986990209544,0.0191726666694409
"PRForest","mse",0.101590863304005,0.0125793210181045
"PRForest","r2",0.667878394197117,0.0383249331534622
"PRForest","rmse",0.318164560546417,0.0200603455246267
"RaFFLE","mae",0.253612913984588,0.02910080887061
"RaFFLE","mse",0.109594825207126,0.0292405127132888
"RaFFLE","r2",0.640718555468107,0.0985690908373999
"RaFFLE","rmse",0.328491658591956,0.0433083959351965
"RandomForest","mae",0.210440861249381,0.0187204955454642
"RandomForest","mse",0.0771757907393763,0.0150577447578907
"RandomForest","r2",0.74667763582872,0.0547294207155999
"RandomForest","rmse",0.276687652978226,0.0262410498768909
"XGBoost","mae",0.149396076272707,0.0305178007083018
"XGBoost","mse",0.0405058663613201,0.0257271220859081
"XGBoost","r2",0.868049670220792,0.0795579201892339
"XGBoost","rmse",0.194864663648816,0.053057926649967
