"Model","Metric","Mean","SD"
"CART","mae",0.425795382214203,0.0380620411512613
"CART","mse",0.299348633214337,0.0468711647657135
"CART","r2",0.707665128104407,0.0692634120126478
"CART","rmse",0.545672673305829,0.0420312955044939
"Lasso","mae",0.730564997766011,0.0353385084461473
"Lasso","mse",0.779978470620689,0.072142895025221
"Lasso","r2",0.251102015906539,0.052847962698545
"Lasso","rmse",0.882293679761558,0.0413163039314158
"LightGBM","mae",0.343901018685499,0.0152939720066207
"LightGBM","mse",0.195203902445515,0.0164794539803045
"LightGBM","r2",0.81002677851895,0.0330236477213799
"LightGBM","rmse",0.441451074951009,0.0189985633992957
"PILOT","mae",0.354136983038727,0.033783998254007
"PILOT","mse",0.206629819679045,0.0356458815457534
"PILOT","r2",0.798836200902875,0.049822346314452
"PILOT","rmse",0.453172727401816,0.0374803477133837
"PRForest","mae",0.620281221601624,0.0495671673146609
"PRForest","mse",0.57549840084533,0.0916335482002684
"PRForest","r2",0.451208230442815,0.04494426924774
"PRForest","rmse",0.756429505932474,0.0606703606941642
"RaFFLE","mae",0.319584388842026,0.0198616511735897
"RaFFLE","mse",0.168269553892176,0.0201035591168375
"RaFFLE","r2",0.8370629432792,0.0281352859212346
"RaFFLE","rmse",0.409553843731427,0.024385856032403
"RandomForest","mae",0.406154798714637,0.0217501143851368
"RandomForest","mse",0.256031376816173,0.021937124790672
"RandomForest","r2",0.752734568122275,0.0319148589736971
"RandomForest","rmse",0.505545479287879,0.0224881496635643
"Ridge","mae",0.732436225635191,0.036843517650654
"Ridge","mse",0.782787272628856,0.0747304321367254
"Ridge","r2",0.248771717896274,0.0510119649132689
"Ridge","rmse",0.88381503434056,0.0429244517528118
"XGBoost","mae",0.33774552090314,0.0297413479416111
"XGBoost","mse",0.190243566865816,0.027807049819861
"XGBoost","r2",0.815409900922965,0.0378254447635811
"XGBoost","rmse",0.435112278154691,0.0319873632140979
