"Model","Metric","Mean","SD"
"CART","mae",0.197024354612399,0.0175665014105282
"CART","mse",0.0593044947338791,0.010750626064419
"CART","r2",0.617794372422129,0.0463911552980249
"CART","rmse",0.242678570514245,0.022682761820419
"Lasso","mae",0.228190756515007,0.0213811931393072
"Lasso","mse",0.0788754104595308,0.0154808505118942
"Lasso","r2",0.492118246975252,0.0711828599653388
"Lasso","rmse",0.279724698120098,0.0280513752147525
"LightGBM","mae",0.184509003095418,0.00784792731085898
"LightGBM","mse",0.0513088457518855,0.00460628172105509
"LightGBM","r2",0.666262219261682,0.0370158916638375
"LightGBM","rmse",0.226323819675853,0.0103907650835562
"PILOT","mae",0.186680144266587,0.00955349737445848
"PILOT","mse",0.0533461616400686,0.00566002612309462
"PILOT","r2",0.654422734149336,0.0236568888598634
"PILOT","rmse",0.23070505134018,0.0123156874652677
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0.176832237611307,0.00784545185947875
"RaFFLE","mse",0.047168437364057,0.0046891938332671
"RaFFLE","r2",0.693726471670599,0.0302953752337685
"RaFFLE","rmse",0.216959198258355,0.0110195085614703
"RandomForest","mae",0.186535035081078,0.01139095353814
"RandomForest","mse",0.0529975022873319,0.00611808734312274
"RandomForest","r2",0.656905180433745,0.0252327296281021
"RandomForest","rmse",0.229897330978438,0.0134498836575988
"Ridge","mae",0.228508933883613,0.0188748060981964
"Ridge","mse",0.0794800525948268,0.0140282062422646
"Ridge","r2",0.487441441920406,0.0640013694774058
"Ridge","rmse",0.281007461157615,0.0253687644697742
"XGBoost","mae",0.192764281138223,0.00933319259240272
"XGBoost","mse",0.0571996163872671,0.00511698479981423
"XGBoost","r2",0.627730304371012,0.0441717837065468
"XGBoost","rmse",0.23896069428757,0.0110342066360476
