"Model","Metric","Mean","SD"
"LightGBM","mae",1.28785765072911,0.111771478302251
"LightGBM","mse",2.85856036704113,0.656478243986725
"LightGBM","r2",0.835315091067934,0.0252199565693114
"LightGBM","rmse",1.68181126191444,0.182790852977146
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0.91649604295525,0.10197284682952
"RaFFLE","mse",1.3469674069166,0.348887182194407
"RaFFLE","r2",0.922394155504886,0.0157625435906943
"RaFFLE","rmse",1.15245338117212,0.144601410556943
"RandomForest","mae",1.92142395515058,0.188452647168484
"RandomForest","mse",6.15974429688575,1.26633326111526
"RandomForest","r2",0.645126803232274,0.0449337180452823
"RandomForest","rmse",2.47091760181951,0.245652197457852
"XGBoost","mae",1.26370568039536,0.0982278803423214
"XGBoost","mse",2.67335193425347,0.499511261076616
"XGBoost","r2",0.843707287872096,0.0336697198125537
"XGBoost","rmse",1.62867211685904,0.151946884064999
