"Model","Metric","Mean","SD"
"LightGBM","mae",2.09478540953428,0.114343070379059
"LightGBM","mse",19.9197683013904,3.71753186144095
"LightGBM","r2",0.013461379613439,0.0587828800203243
"LightGBM","rmse",4.44553494180174,0.417648686245363
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",2.08433398500806,0.18305213548955
"RaFFLE","mse",20.5627819476613,4.58765633579844
"RaFFLE","r2",-0.0133185398566513,0.0892415279734962
"RaFFLE","rmse",4.50898019315963,0.507586407920884
"RandomForest","mae",2.07442507726867,0.211011673139118
"RandomForest","mse",21.5404198889881,5.00387009350885
"RandomForest","r2",-0.0583345165324406,0.0808216935667898
"RandomForest","rmse",4.61268037527658,0.541191734894584
"XGBoost","mae",1.8272872412688,0.218949578042377
"XGBoost","mse",21.4063163128912,4.14172622675886
"XGBoost","r2",-0.0593374142636713,0.0640948416059884
"XGBoost","rmse",4.60736203451081,0.445385470799794
