"Model","Metric","Mean","SD"
"LightGBM","mae",0.488683260952822,0.0524624530849611
"LightGBM","mse",0.485398648534718,0.249257331893932
"LightGBM","r2",0.899770688165213,0.0537677609598231
"LightGBM","rmse",0.678142762199954,0.168394518947929
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0.513390733217449,0.052856208140584
"RaFFLE","mse",0.537014401051971,0.180432836949251
"RaFFLE","r2",0.88708680940167,0.0450069083886206
"RaFFLE","rmse",0.72321742004818,0.124592510880802
"RandomForest","mae",0.521304602099264,0.0492707858563966
"RandomForest","mse",0.496840660102595,0.139292670170035
"RandomForest","r2",0.898816681872114,0.0263197634651373
"RandomForest","rmse",0.698651708171915,0.0984685554493889
"XGBoost","mae",0.518617778940707,0.030397543237055
"XGBoost","mse",0.526599277785707,0.15263054915954
"XGBoost","r2",0.889405880023593,0.041341216519433
"XGBoost","rmse",0.718838753374087,0.104722513939859
