"Dataset","Model","Metric","Value"
"boston","RaFFLE","MSE",11.3157644659899
"boston","RaFFLE","MSE",11.8993972828901
"boston","RaFFLE","MSE",12.4281882442122
"boston","RaFFLE","MSE",46.4467409666738
"boston","RaFFLE","MSE",13.3595048004594
"boston","PRForest","MSE",11.1390967668489
"boston","PRForest","MSE",18.7790473837507
"boston","PRForest","MSE",14.9151399385595
"boston","PRForest","MSE",50.0823589408115
"boston","PRForest","MSE",14.8241230424152
"boston","RandomForest","MSE",6.76642790922222
"boston","RandomForest","MSE",13.7780251771165
"boston","RandomForest","MSE",16.3842772013333
"boston","RandomForest","MSE",59.1729067141528
"boston","RandomForest","MSE",18.6375230644722
"boston","XGBoost","MSE",7.4194776526595
"boston","XGBoost","MSE",14.5536066765857
"boston","XGBoost","MSE",12.5768144715265
"boston","XGBoost","MSE",44.9884580614014
"boston","XGBoost","MSE",8.83602088150463
"boston","LightGBM","MSE",12.0288029373841
"boston","LightGBM","MSE",15.77202839322
"boston","LightGBM","MSE",27.6322583928958
"boston","LightGBM","MSE",65.7325289512075
"boston","LightGBM","MSE",40.770659917298
"diamonds","RaFFLE","MSE",753640.513789642
"diamonds","RaFFLE","MSE",5641768.6422662
"diamonds","RaFFLE","MSE",3104587.698592
"diamonds","RaFFLE","MSE",2159695.46412451
"diamonds","RaFFLE","MSE",1399042.26980825
"diamonds","PRForest","MSE",360801.561649038
"diamonds","PRForest","MSE",5473545.31714005
"diamonds","PRForest","MSE",3653351.90100782
"diamonds","PRForest","MSE",1596264.91195296
"diamonds","PRForest","MSE",2051236.64663796
"diamonds","RandomForest","MSE",921786.154612174
"diamonds","RandomForest","MSE",6201916.47822542
"diamonds","RandomForest","MSE",3674865.23425408
"diamonds","RandomForest","MSE",2388850.19167201
"diamonds","RandomForest","MSE",1125750.15799237
"diamonds","XGBoost","MSE",1237484.8521882
"diamonds","XGBoost","MSE",8015690.51276747
"diamonds","XGBoost","MSE",5707968.06000548
"diamonds","XGBoost","MSE",3299815.77790286
"diamonds","XGBoost","MSE",1180687.76681271
"diamonds","LightGBM","MSE",675569.235332004
"diamonds","LightGBM","MSE",7413361.74735064
"diamonds","LightGBM","MSE",7163005.35520093
"diamonds","LightGBM","MSE",4747282.28868714
"diamonds","LightGBM","MSE",6245652.22886256
"ozone","RaFFLE","MSE",14.8542903566109
"ozone","RaFFLE","MSE",13.1393821115407
"ozone","RaFFLE","MSE",16.204062799333
"ozone","RaFFLE","MSE",9.92350714927398
"ozone","RaFFLE","MSE",21.5866641739263
"ozone","PRForest","MSE",8738491477.94858
"ozone","PRForest","MSE",10.7029040521951
"ozone","PRForest","MSE",20.740498442749
"ozone","PRForest","MSE",11.757200244568
"ozone","PRForest","MSE",17.4280351442835
"ozone","RandomForest","MSE",14.3126160847222
"ozone","RandomForest","MSE",13.1915127055556
"ozone","RandomForest","MSE",19.8475933861111
"ozone","RandomForest","MSE",11.7516298055556
"ozone","RandomForest","MSE",20.4007351333333
"ozone","XGBoost","MSE",10.7986635608945
"ozone","XGBoost","MSE",9.76222443934504
"ozone","XGBoost","MSE",23.856635537417
"ozone","XGBoost","MSE",14.3938104552999
"ozone","XGBoost","MSE",15.804310473289
"ozone","LightGBM","MSE",16.8854732461125
"ozone","LightGBM","MSE",16.7909381738072
"ozone","LightGBM","MSE",24.1174486412162
"ozone","LightGBM","MSE",17.5521482685795
"ozone","LightGBM","MSE",21.5110398686718
"diabetes","RaFFLE","MSE",2662.9343169796
"diabetes","RaFFLE","MSE",2451.69245213337
"diabetes","RaFFLE","MSE",3196.30215692546
"diabetes","RaFFLE","MSE",4606.52380921058
"diabetes","RaFFLE","MSE",3338.7212577165
"diabetes","PRForest","MSE",5025.50429495266
"diabetes","PRForest","MSE",2395.46869821113
"diabetes","PRForest","MSE",3033.95998714154
"diabetes","PRForest","MSE",5623.37310582945
"diabetes","PRForest","MSE",3231.73751674053
"diabetes","RandomForest","MSE",2925.88826685
"diabetes","RandomForest","MSE",2485.01604660833
"diabetes","RandomForest","MSE",3384.12061039583
"diabetes","RandomForest","MSE",4147.3198258
"diabetes","RandomForest","MSE",3748.78664046111
"diabetes","XGBoost","MSE",4132.57589694608
"diabetes","XGBoost","MSE",1920.31090998375
"diabetes","XGBoost","MSE",3658.5817091335
"diabetes","XGBoost","MSE",4174.23623358782
"diabetes","XGBoost","MSE",4235.66743707929
"diabetes","LightGBM","MSE",2371.26946011431
"diabetes","LightGBM","MSE",3549.03493264408
"diabetes","LightGBM","MSE",3576.98476060459
"diabetes","LightGBM","MSE",3986.63836316068
"diabetes","LightGBM","MSE",3583.89411436047
"lifecyclesavings","RaFFLE","MSE",20.5795531387572
"lifecyclesavings","RaFFLE","MSE",15.2331131822952
"lifecyclesavings","RaFFLE","MSE",19.9747613231404
"lifecyclesavings","RaFFLE","MSE",7.75182492716682
"lifecyclesavings","RaFFLE","MSE",17.1806511856083
"lifecyclesavings","PRForest","MSE",22.6134082198081
"lifecyclesavings","PRForest","MSE",9.0299178541566
"lifecyclesavings","PRForest","MSE",18.4267143981214
"lifecyclesavings","PRForest","MSE",11.0304488104711
"lifecyclesavings","PRForest","MSE",17.5164485449328
"lifecyclesavings","RandomForest","MSE",22.8113739748703
"lifecyclesavings","RandomForest","MSE",17.002750674901
"lifecyclesavings","RandomForest","MSE",17.3726932341356
"lifecyclesavings","RandomForest","MSE",8.74329830948765
"lifecyclesavings","RandomForest","MSE",16.7522340782778
"lifecyclesavings","XGBoost","MSE",30.7873281439307
"lifecyclesavings","XGBoost","MSE",17.9419851695356
"lifecyclesavings","XGBoost","MSE",15.3612745104377
